record_id,month,year,AverageTemperature,AverageTemperatureUncertainty,City,country_id,Country,Latitude,Longitude
474589,10,1870,13.928,0.9600000000000009,Auckland,NEW,New Zealand,36.17S,175.03E
474590,11,1870,16.194000000000003,1.551000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474591,12,1870,15.091999999999997,1.319000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474592,01,1871,17.174999999999997,1.2879999999999983,Auckland,NEW,New Zealand,36.17S,175.03E
474593,02,1871,17.781999999999996,1.7580000000000002,Auckland,NEW,New Zealand,36.17S,175.03E
474594,03,1871,17.41,1.0129999999999997,Auckland,NEW,New Zealand,36.17S,175.03E
474595,04,1871,15.366999999999999,0.9119999999999983,Auckland,NEW,New Zealand,36.17S,175.03E
474596,05,1871,14.562,0.6080000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474597,06,1871,12.650000000000002,0.5359999999999983,Auckland,NEW,New Zealand,36.17S,175.03E
474598,07,1871,12.318000000000003,0.5450000000000009,Auckland,NEW,New Zealand,36.17S,175.03E
474599,08,1871,11.419999999999998,0.743999999999999,Auckland,NEW,New Zealand,36.17S,175.03E
474600,09,1871,11.711,0.6189999999999982,Auckland,NEW,New Zealand,36.17S,175.03E
474602,11,1871,14.764000000000001,0.9400000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474603,12,1871,16.331000000000003,0.9639999999999994,Auckland,NEW,New Zealand,36.17S,175.03E
474604,01,1872,19.161,2.6030000000000006,Auckland,NEW,New Zealand,36.17S,175.03E
474605,02,1872,20.012999999999995,1.488000000000002,Auckland,NEW,New Zealand,36.17S,175.03E
474606,03,1872,17.868999999999996,1.0630000000000015,Auckland,NEW,New Zealand,36.17S,175.03E
474607,04,1872,16.658,1.7050000000000014,Auckland,NEW,New Zealand,36.17S,175.03E
474608,05,1872,15.150999999999998,0.9090000000000013,Auckland,NEW,New Zealand,36.17S,175.03E
474609,06,1872,12.879999999999999,1.0600000000000007,Auckland,NEW,New Zealand,36.17S,175.03E
474610,07,1872,12.225000000000001,0.9299999999999997,Auckland,NEW,New Zealand,36.17S,175.03E
474611,08,1872,11.096,1.084,Auckland,NEW,New Zealand,36.17S,175.03E
474612,09,1872,12.625,0.669,Auckland,NEW,New Zealand,36.17S,175.03E
474613,10,1872,12.96,0.8280000000000006,Auckland,NEW,New Zealand,36.17S,175.03E
474614,11,1872,15.625,0.9909999999999997,Auckland,NEW,New Zealand,36.17S,175.03E
474615,12,1872,18.678000000000004,1.8769999999999993,Auckland,NEW,New Zealand,36.17S,175.03E
474616,01,1873,17.892000000000003,1.1870000000000007,Auckland,NEW,New Zealand,36.17S,175.03E
474617,02,1873,18.162999999999997,0.8260000000000013,Auckland,NEW,New Zealand,36.17S,175.03E
474618,03,1873,18.288999999999998,1.004000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474619,04,1873,15.645000000000001,1.731,Auckland,NEW,New Zealand,36.17S,175.03E
474620,05,1873,14.643999999999998,0.8180000000000002,Auckland,NEW,New Zealand,36.17S,175.03E
474621,06,1873,13.043000000000001,0.6570000000000005,Auckland,NEW,New Zealand,36.17S,175.03E
474622,07,1873,11.461000000000002,0.6770000000000012,Auckland,NEW,New Zealand,36.17S,175.03E
474623,08,1873,11.866999999999999,0.44500000000000106,Auckland,NEW,New Zealand,36.17S,175.03E
474624,09,1873,12.336,1.0049999999999986,Auckland,NEW,New Zealand,36.17S,175.03E
474625,10,1873,13.547,0.8410000000000019,Auckland,NEW,New Zealand,36.17S,175.03E
474626,11,1873,15.203999999999999,0.6169999999999989,Auckland,NEW,New Zealand,36.17S,175.03E
474627,12,1873,17.726,0.8280000000000006,Auckland,NEW,New Zealand,36.17S,175.03E
474628,01,1874,19.069000000000003,1.5719999999999996,Auckland,NEW,New Zealand,36.17S,175.03E
